SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1803195,182943,-31,48.0,45.0,Active,0,0
1715348,367990,-33,36.0,35.0,Active,0,0
1784872,397406,-32,12.0,9.0,Active,0,0
1903291,269225,-35,48.0,42.0,Active,0,0
2341044,334279,-35,36.0,35.0,Active,0,0
2207092,342166,-32,12.0,12.0,Active,0,0
1110516,204376,-38,48.0,43.0,Active,0,0
1387235,153211,-35,36.0,36.0,Active,0,0
1220500,112740,-31,12.0,12.0,Active,0,0
2371489,274851,-32,24.0,16.0,Active,0,0
2328294,287361,-32,12.0,12.0,Active,0,0
2023570,237959,-39,12.0,12.0,Active,0,0
1258390,278261,-32,36.0,36.0,Active,0,0
